date,state,county,category,visitIndex,visitsAbove65Index,visitsBelow65Index,rank
2020-03-08,California,Alameda County,Sports,103,90,103,22
2020-03-08,California,Alameda County,Metro Stations,89,52,90,23
2020-03-08,California,Alameda County,Office,87,79,87,24
2020-03-08,California,Alameda County,Alcohol,98,132,97,25
2020-03-08,California,Alameda County,Discount Stores,102,123,102,26
2020-03-08,California,Alameda County,Banks,80,107,79,27
2020-03-08,California,Alameda County,Bus,106,122,106,28
2020-03-09,California,Alameda County,Food,94,82,95,1
2020-03-09,California,Alameda County,Shops & Services,95,84,95,2
2020-03-09,California,Alameda County,Outdoors & Recreation,100,97,101,3
2020-03-09,California,Alameda County,Grocery,112,99,112,4
2020-03-09,California,Alameda County,Professional & Other Places,106,111,106,5
2020-03-09,California,Alameda County,Medical,110,110,110,6
2020-03-09,California,Alameda County,School,115,113,115,7
2020-03-09,California,Alameda County,Office,106,89,106,8
2020-03-09,California,Alameda County,Colleges & Universities,96,108,96,9
2020-03-09,California,Alameda County,Gas Stations,99,78,99,10
2020-03-09,California,Alameda County,Fitness Center,97,72,97,11
2020-03-09,California,Alameda County,Fast Food Restaurants,99,89,99,12
2020-03-09,California,Alameda County,Travel & Transport,70,61,70,13
2020-03-09,California,Alameda County,Nightlife Spots,102,86,102,14
2020-03-09,California,Alameda County,Airport,74,87,74,15
2020-03-09,California,Alameda County,Arts & Entertainment,97,111,97,16
2020-03-09,California,Alameda County,Big Box Stores,110,123,110,17
2020-03-09,California,Alameda County,Residences,104,65,105,18
2020-03-09,California,Alameda County,Drug Store,97,82,97,19
2020-03-09,California,Alameda County,Metro Stations,80,119,79,20
2020-03-09,California,Alameda County,Convenience Store,98,124,98,21
2020-03-09,California,Alameda County,Government,129,108,129,22
2020-03-09,California,Alameda County,Spiritual Center,110,149,108,23
2020-03-09,California,Alameda County,Hotel,90,106,90,24
2020-03-09,California,Alameda County,Hardware Stores,98,67,99,25
2020-03-09,California,Alameda County,Banks,113,65,115,26
2020-03-09,California,Alameda County,Sports,115,110,115,27
2020-03-09,California,Alameda County,Alcohol,92,83,92,28
2020-03-09,California,Alameda County,Bus,98,107,97,29
2020-03-09,California,Alameda County,Discount Stores,83,52,84,30
2020-03-10,California,Alameda County,Food,98,92,98,1
2020-03-10,California,Alameda County,Shops & Services,96,87,96,2
2020-03-10,California,Alameda County,Outdoors & Recreation,99,95,99,3
2020-03-10,California,Alameda County,Grocery,105,92,106,4
2020-03-10,California,Alameda County,Professional & Other Places,91,88,91,5
2020-03-10,California,Alameda County,School,96,108,95,6
2020-03-10,California,Alameda County,Medical,99,85,100,7
2020-03-10,California,Alameda County,Office,79,110,78,8
2020-03-10,California,Alameda County,Gas Stations,91,110,91,9
2020-03-10,California,Alameda County,Colleges & Universities,66,78,66,10
2020-03-10,California,Alameda County,Fitness Center,89,73,89,11
2020-03-10,California,Alameda County,Fast Food Restaurants,92,114,92,12
2020-03-10,California,Alameda County,Arts & Entertainment,97,103,96,13
2020-03-10,California,Alameda County,Nightlife Spots,91,87,91,14
2020-03-10,California,Alameda County,Travel & Transport,62,72,62,15
2020-03-10,California,Alameda County,Airport,86,79,86,16
2020-03-10,California,Alameda County,Residences,99,100,99,17
2020-03-10,California,Alameda County,Big Box Stores,107,69,108,18
2020-03-10,California,Alameda County,Drug Store,103,79,104,19
2020-03-10,California,Alameda County,Metro Stations,73,75,73,20
2020-03-10,California,Alameda County,Spiritual Center,91,91,91,21
2020-03-10,California,Alameda County,Convenience Store,89,71,89,22
2020-03-10,California,Alameda County,Hotel,89,96,89,23
2020-03-10,California,Alameda County,Government,89,98,89,24
2020-03-10,California,Alameda County,Hardware Stores,120,109,120,25
2020-03-10,California,Alameda County,Sports,123,124,123,26
