date,county,categoryName,visitIndex
2020-03-11,Monterey County,Mexican Restaurants,96
2020-03-11,Monterey County,Fast Food Restaurants,93
2020-03-11,Monterey County,Elementary Schools,103
2020-03-11,Monterey County,Coffee Shops,112
2020-03-11,Monterey County,Big Box Stores,108
2020-03-11,Monterey County,High Schools,106
2020-03-11,Monterey County,Pharmacies,102
2020-03-11,Monterey County,Parks,140
2020-03-11,Monterey County,Beaches,108
2020-03-11,Monterey County,Government Buildings,105
2020-03-11,Monterey County,Churches,80
2020-03-11,Monterey County,Convenience Stores,84
2020-03-11,Monterey County,Golf Courses,82
2020-03-11,Monterey County,Shopping Malls,88
2020-03-11,Monterey County,Bakeries,92
2020-03-11,Monterey County,Farms,88
2020-03-12,Monterey County,Grocery Stores,124
2020-03-12,Monterey County,Mexican Restaurants,103
2020-03-12,Monterey County,Gas Stations,95
2020-03-12,Monterey County,Fast Food Restaurants,100
2020-03-12,Monterey County,Hotels,84
2020-03-12,Monterey County,Big Box Stores,108
2020-03-12,Monterey County,Elementary Schools,94
2020-03-12,Monterey County,High Schools,100
2020-03-12,Monterey County,Coffee Shops,90
2020-03-12,Monterey County,Pharmacies,101
2020-03-12,Monterey County,Churches,101
2020-03-12,Monterey County,Beaches,107
2020-03-12,Monterey County,Government Buildings,101
2020-03-12,Monterey County,Parks,125
2020-03-12,Monterey County,Convenience Stores,85
2020-03-12,Monterey County,Shopping Malls,91
2020-03-12,Monterey County,Warehouse Stores,145
2020-03-12,Monterey County,Bakeries,105
2020-03-12,Monterey County,Farms,101
2020-03-13,Monterey County,Grocery Stores,159
2020-03-13,Monterey County,Gas Stations,103
2020-03-13,Monterey County,Mexican Restaurants,102
2020-03-13,Monterey County,Fast Food Restaurants,82
2020-03-13,Monterey County,Hotels,78
2020-03-13,Monterey County,Big Box Stores,131
2020-03-13,Monterey County,Elementary Schools,111
2020-03-13,Monterey County,Coffee Shops,90
2020-03-13,Monterey County,Pharmacies,123
2020-03-13,Monterey County,High Schools,99
2020-03-13,Monterey County,Convenience Stores,106
2020-03-13,Monterey County,Warehouse Stores,170
2020-03-13,Monterey County,Government Buildings,102
2020-03-13,Monterey County,Shopping Malls,85
2020-03-13,Monterey County,Farms,106
2020-03-13,Monterey County,Bakeries,98
2020-03-13,Monterey County,Parks,99
2020-03-13,Monterey County,Beaches,77
2020-03-13,Monterey County,Golf Courses,53
2020-03-13,Monterey County,Banks,89
2020-03-13,Monterey County,Hardware Stores,107
2020-03-14,Monterey County,Grocery Stores,132
2020-03-14,Monterey County,Mexican Restaurants,115
2020-03-14,Monterey County,Hotels,74
2020-03-14,Monterey County,Gas Stations,87
2020-03-14,Monterey County,Big Box Stores,111
2020-03-14,Monterey County,Fast Food Restaurants,81
2020-03-14,Monterey County,Coffee Shops,71
2020-03-14,Monterey County,Pharmacies,111
2020-03-14,Monterey County,Beaches,67
2020-03-14,Monterey County,Parks,83
2020-03-14,Monterey County,Shopping Malls,75
2020-03-14,Monterey County,Convenience Stores,78
2020-03-14,Monterey County,Hardware Stores,109
2020-03-14,Monterey County,Bakeries,92
2020-03-14,Monterey County,American Restaurants,81
2020-03-15,Monterey County,Grocery Stores,105
2020-03-15,Monterey County,Mexican Restaurants,98
2020-03-15,Monterey County,Gas Stations,72
2020-03-15,Monterey County,Fast Food Restaurants,77
2020-03-15,Monterey County,Big Box Stores,92
2020-03-15,Monterey County,Hotels,57
2020-03-15,Monterey County,Coffee Shops,74
2020-03-15,Monterey County,Pharmacies,124
2020-03-15,Monterey County,Shopping Malls,78
2020-03-15,Monterey County,Churches,51
2020-03-15,Monterey County,Convenience Stores,79
2020-03-15,Monterey County,Beaches,52
2020-03-16,Monterey County,Grocery Stores,164
2020-03-16,Monterey County,Gas Stations,99
2020-03-16,Monterey County,Mexican Restaurants,100
2020-03-16,Monterey County,Fast Food Restaurants,90
2020-03-16,Monterey County,Big Box Stores,132
2020-03-16,Monterey County,Hotels,66
2020-03-16,Monterey County,Pharmacies,130
2020-03-16,Monterey County,Coffee Shops,80
2020-03-16,Monterey County,Convenience Stores,86
2020-03-16,Monterey County,Bakeries,122
2020-03-16,Monterey County,Parks,99
2020-03-16,Monterey County,Government Buildings,105
2020-03-16,Monterey County,Hardware Stores,121
2020-03-16,Monterey County,High Schools,76
2020-03-16,Monterey County,Warehouse Stores,159
2020-03-17,Monterey County,Grocery Stores,139
2020-03-17,Monterey County,Gas Stations,91
2020-03-17,Monterey County,Mexican Restaurants,86
